
2026/03/14 (12:23:43) | ===> btop++ v.1.3.0
2026/03/14 (12:23:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/03/14 (12:24:38) | ===> btop++ v.1.3.0
2026/03/14 (12:24:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/03/14 (12:27:11) | ===> btop++ v.1.3.0
2026/03/14 (12:27:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/03/14 (12:28:08) | ===> btop++ v.1.3.0
2026/03/14 (12:28:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/03/14 (12:29:11) | ===> btop++ v.1.3.0
2026/03/14 (12:29:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/03/14 (12:29:26) | ===> btop++ v.1.3.0
2026/03/14 (12:29:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/03/14 (12:30:26) | ===> btop++ v.1.3.0
2026/03/14 (12:30:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/03/14 (12:30:51) | ===> btop++ v.1.3.0
2026/03/14 (12:30:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/03/14 (12:40:03) | ===> btop++ v.1.3.0
2026/03/14 (12:40:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/03/14 (12:41:10) | ===> btop++ v.1.3.0
2026/03/14 (12:41:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/03/14 (17:41:41) | ===> btop++ v.1.3.0
2026/03/14 (17:41:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/03/17 (12:13:42) | ===> btop++ v.1.3.0
2026/03/17 (12:13:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/03/17 (12:17:37) | ===> btop++ v.1.3.0
2026/03/17 (12:17:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2026/03/18 (10:35:12) | ===> btop++ v.1.3.0
2026/03/18 (10:35:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
